claim,evidence,label
The United Kingdom is a member of no organizations.,,NEI
There are gold reserves in Kolyma.,"Total reserves are estimated at 3.5 billion tons of equivalent fuel , including 1.2 billion tons of oil and 1.5 billion m3 of gas . oil oil",SUPPORTS
Barbara Stanwyck starred in a movie.,"She was a film and television star , known during her 60-year career as a consummate and versatile professional with a strong , realistic screen presence , and a favorite of directors including Cecil B. DeMille , Fritz Lang , and Frank Capra . Cecil B. DeMille Cecil B. DeMille Fritz Lang Fritz Lang Frank Capra Frank Capra After a short but notable career as a stage actress in the late 1920s , she made 85 films in 38 years in Hollywood , before turning to television . Hollywood Cinema of the United States Her performance in The Thorn Birds also won her a Golden Globe . The Thorn Birds The Thorn Birds (TV miniseries) Golden Globe Golden Globe It was directed by King Vidor , and stars Barbara Stanwyck , John Boles , and Anne Shirley . King Vidor King Vidor Barbara Stanwyck Barbara Stanwyck John Boles John Boles (actor) Anne Shirley Dawn Evelyn Paris",SUPPORTS
Wi-Fi is a trademark of the Wi-Fi Alliance.,"Wi-Fi is a trademark of the Wi-Fi Alliance , which restricts the use of the term Wi-Fi Certified to products that successfully complete interoperability certification testing . Wi-Fi Alliance Wi-Fi Alliance interoperability interoperability",SUPPORTS
London had around 3 denizens in mid-2015.,,NEI
The Supernatural pilot premiered on The CW.,"It premiered on The WB on September 13 , 2005 , and was written by series creator Eric Kripke and directed by David Nutter . Eric Kripke Eric Kripke David Nutter David Nutter The WB The WB",REFUTES
The Greenland shark is a type of land mammal.,"The Greenland shark -LRB- Somniosus microcephalus -RRB- , also known as the gurry shark , or grey shark , or by the Inuit name eqalussuaq , is a large shark of the family Somniosidae -LRB- `` sleeper sharks '' -RRB- , closely related to the Pacific and southern sleeper sharks . Somniosidae Somniosidae Somniosus Somniosus Inuit Inuit languages shark shark Pacific Pacific sleeper shark Greenland shark flesh treated to reduce toxin levels is eaten in Iceland as a delicacy known as kæstur hákarl . shark shark Iceland Iceland kæstur hákarl Hákarl",REFUTES
Marie Curie was a physicist who studied radiation.,"Marie Skłodowska Curie -LRB- -LSB- ˈkjʊri , _ kjʊˈriː -RSB- -LSB- kyʁi -RSB- ; -LSB- kʲiˈri -RSB- ; 7 November 18674 July 1934 -RRB- , born Maria Salomea Skłodowska -LRB- -LSB- ˈmarja salɔˈmɛa skwɔˈdɔfska -RSB- -RRB- , was a Polish and naturalized-French physicist and chemist who conducted pioneering research on radioactivity . Polish and naturalized-French Polish minority in France physicist physicist chemist chemist radioactivity radioactivity Her achievements included the development of the theory of radioactivity -LRB- a term that she coined -RRB- , techniques for isolating radioactive isotopes , and the discovery of two elements , polonium and radium . radioactivity radioactivity polonium polonium radium radium",SUPPORTS
Metro Boomin is incapable of being a DJ.,"Leland Tyler Wayne -LRB- born September 16 , 1993 -RRB- , professionally known as Metro Boomin -LRB- also known as Young Metro or simply Metro -RRB- , is an American record producer , songwriter and DJ from St. Louis , Missouri . St. Louis St. Louis Missouri Missouri (U.S. state)",REFUTES
The Nashville Songwriters Association International is only a for-profit association.,"The Nashville Songwriters Association International is a 501 -LRB- c -RRB- not-for-profit trade organization that works to help songwriters in three ways : through legislative advocacy , through education and advice about the actual craft of songwriting , and through teaching about the music industry , and how to best position a song for success within it . not-for-profit Non-profit organization trade organization trade organization advocacy advocacy education education songwriting songwriting music industry music industry",REFUTES
Quinoa is in the family of the Amaranthaceae.,"Quinoa -LRB- -LSB- ˈkiːnwɑː -RSB- or -LSB- kɪˈnoʊ.ə -RSB- , from Quechua kinwa or kinuwa -RRB- is the common name for Chenopodium quinoa , a flowering plant in the amaranth family Amaranthaceae . Amaranthaceae Amaranthaceae Chenopodium Chenopodium Quechua Quechuan languages flowering plant flowering plant amaranth amaranth",SUPPORTS
Shay Haley is barely known as Sheldon Haley.,"Sheldon Haley -LRB- born December 18 , 1972 -RRB- , better known as Shae , Shay or Shade , is an American musician . musician musician American United States",REFUTES
Aneurin Barnard is a movie actor.,,NEI
Tidewater region is a geographic area in the US.,"The Tidewater region is a geographic area of southeast Virginia and northeastern North Carolina , part of the Atlantic coastal plain in the United States of America . Virginia Virginia North Carolina North Carolina Atlantic coastal plain Atlantic coastal plain North Carolina -LRB- -LSB- nɔrθ_kærəˈlaɪnə -RSB- -RRB- is a state in the southeastern region of the United States . state U.S. state southeastern region Southeastern United States Portions of Maryland facing the Chesapeake Bay are also given this designation . Maryland Maryland Chesapeake Bay Chesapeake Bay The Chesapeake Bay -LRB- -LSB- ˈtʃɛsəpiːk -RSB- -RRB- is an estuary in the U.S. states of Maryland and Virginia , lying inland from the Atlantic Ocean and surrounded to the west by the North American mainland and to the east by the Delmarva Peninsula . estuary estuary Maryland Maryland Virginia Virginia Atlantic Ocean Atlantic Ocean Delmarva Peninsula Delmarva Peninsula Geographically , in North Carolina and Virginia the Tidewater area is the land between the Suffolk Scarp and the Atlantic Ocean . Virginia Virginia North Carolina North Carolina Suffolk Scarp Suffolk Scarp Atlantic Ocean Atlantic Ocean",SUPPORTS
Justin Bieber has won lotteries.,,NEI
True Detective is a television series on HBO.,"The series , broadcast by the premium cable network HBO in the United States , premiered on January 12 , 2014 . HBO HBO True Detective is an American anthology crime drama television series created and written by Nic Pizzolatto . Detective Detective fiction Nic Pizzolatto Nic Pizzolatto anthology Anthology series crime Crime fiction drama drama I talked to Nic about it and both Nic and HBO are open to another season . HBO HBO We 're open to somebody else writing it and Nic supervising it . In March 2017 , it was revealed that Pizzolatto has written the first two episodes of a potential third season and that David Milch joined the creative team . David Milch David Milch",SUPPORTS
Robert F. Kennedy was the chief counsel of a committee.,He was appointed Attorney General after the successful election and served as the closest adviser to the president from 1961 to 1963 .,SUPPORTS
Emily Blunt is exclusively a singer.,"Emily Olivia Leah Blunt -LRB- born 23 February 1983 -RRB- is a British film and stage actress . Blunt made her professional debut in a 2001 London production of the play The Royal Family . The Royal Family The Royal Family (play) Two years later , she appeared on screen for the first time in the 2003 television film Boudica -LRB- Warrior Queen -RRB- . Her performance in the 2004 drama film My Summer of Love garnered her the Evening Standard British Film Award for Most Promising Newcomer . My Summer of Love My Summer of Love Evening Standard British Film Award for Most Promising Newcomer Evening Standard Award",REFUTES
A region of Quebec in the north is not called Nord-du-Québec.,"Parti Québécois governments held referendums on sovereignty in 1980 and 1995 ; both were voted down by voters , the latter defeated by a very narrow margin . Québécois Québécois people Parti Québécois Parti Québécois governments Government of Quebec sovereignty sovereignty 1980 Quebec referendum, 1980 1995 Quebec referendum, 1995",REFUTES
Quebec is a province in Canada.,"The Nord-du-Québec region , occupying the northern half of the province , is sparsely populated and inhabited primarily by Aboriginal peoples . Québec Quebec City province Provinces and territories of Canada Nord-du-Québec Nord-du-Québec Aboriginal peoples Aboriginal peoples in Canada It also shares maritime borders with Nunavut , Prince Edward Island , and Nova Scotia . Nunavut Nunavut Prince Edward Island Prince Edward Island Nova Scotia Nova Scotia",SUPPORTS
"Michael Jackson originated in Buffalo, New York.",,NEI
Tropic Thunder was produced by Universal Pictures.,DreamWorks Pictures and Red Hour Films produced it . Red Hour Films Red Hour Productions DreamWorks Pictures DreamWorks,REFUTES
X-Men (film) is incapable of having a cast name Patrick Stewart.,"The film , directed by Bryan Singer and written by David Hayter , features an ensemble cast that includes Hugh Jackman , Patrick Stewart , Ian McKellen , Halle Berry , Famke Janssen , James Marsden , Bruce Davison , Rebecca Romijn-Stamos , Ray Park , Tyler Mane , and Anna Paquin . Bryan Singer Bryan Singer David Hayter David Hayter Patrick Stewart Patrick Stewart Hugh Jackman Hugh Jackman Ian McKellen Ian McKellen Halle Berry Halle Berry Famke Janssen Famke Janssen James Marsden James Marsden Bruce Davison Bruce Davison Rebecca Romijn-Stamos Rebecca Romijn Ray Park Ray Park Tyler Mane Tyler Mane Anna Paquin Anna Paquin ensemble cast ensemble cast",REFUTES
John Cena has a ECW career.,,NEI
Lewis Hamilton is sponsored.,,NEI
There are occupations relating to Programmer.,,SUPPORTS
Emily Blunt played a supporting role in Arrival.,,NEI
Toronto has a monument with a height of 630.2 square kilometers.,,NEI
License to Wed was released in 2030.,"License to Wed is a 2007 American romantic comedy film starring Robin Williams , Mandy Moore and John Krasinski , and directed by Ken Kwapis . Ken Kwapis Ken Kwapis Robin Williams Robin Williams Mandy Moore Mandy Moore John Krasinski John Krasinski romantic comedy film romantic comedy film",REFUTES
Tubelight is produced by an American actor.,The film is produced by Salman Khan and Kabir Khan . Kabir Khan Kabir Khan (director) Salman Khan Salman Khan,REFUTES
Richard Harris was a performer.,,NEI
Malala Yousafzai's father did humanitarian work.,"The following summer , journalist Adam B. Ellick made a New York Times documentary about her life as the Pakistani military intervened in the region . Pakistani Pakistani people Adam B. Ellick Adam B. Ellick New York Times The New York Times",SUPPORTS
Ballet Shoes is an award-winning children's novel.,"Ballet Shoes : a story of three children on the stage is a children 's novel by Noel Streatfeild , published by Dent in 1936 . Noel Streatfeild Noel Streatfeild",SUPPORTS
Bridge of Spies was written by a man.,"Bridge of Spies is a 2015 historical drama legal thriller film directed and co-produced by Steven Spielberg , written by Matt Charman , Ethan and Joel Coen and stars Tom Hanks , Mark Rylance , Amy Ryan and Alan Alda . Steven Spielberg Steven Spielberg Matt Charman Matt Charman Tom Hanks Tom Hanks Mark Rylance Mark Rylance Amy Ryan Amy Ryan Alan Alda Alan Alda historical drama Historical period drama legal thriller legal thriller Ethan and Joel Coen Coen brothers Matt Charman -LRB- born June 5 , 1979 -RRB- is a British screenwriter , playwright , and producer . playwright playwright producer film producer He was nominated for an Academy Award for best original screenplay for his 2015 film Bridge of Spies , directed by Steven Spielberg and co-written with Joel and Ethan Coen . Bridge of Spies Bridge of Spies (film) Steven Spielberg Steven Spielberg Joel and Ethan Coen Joel and Ethan Coen",SUPPORTS
Mila Kunis was featured in Friends with Benefits.,"Friends with Benefits is a 2011 American romantic comedy film directed by Will Gluck , and starring Justin Timberlake and Mila Kunis in the lead roles . Will Gluck Will Gluck Justin Timberlake Justin Timberlake Mila Kunis Mila Kunis romantic comedy film romantic comedy film",SUPPORTS
Chris Carter rose to fame in the early 1790s.,"After beginning his television career working on television films for Walt Disney Studios , Carter rose to fame in the early 1990s after creating the science fiction-supernatural television series The X-Files for the Fox network . The X-Files The X-Files (film) Walt Disney Studios Walt Disney Studios (production) science fiction science fiction supernatural supernatural fiction Fox network Fox Broadcasting Company",REFUTES
Belgium is 41% forest.,,NEI
Psychological findings are independent of research and perspectives from humanities.,"Many do scientific research on a wide range of topics related to mental processes and behavior , and typically work in university psychology departments or teach in other academic settings -LRB- e.g. , medical schools , hospitals -RRB- . behavior behavior",REFUTES
Toy Story is only a screenplay.,"Toy Story is a 1995 American computer-animated buddy comedy adventure film produced by Pixar Animation Studios and released by Walt Disney Pictures . Walt Disney Pictures Walt Disney Pictures Pixar Animation Studios Pixar computer-animated Computer-generated imagery buddy buddy film comedy comedy film adventure film adventure film The directorial debut of John Lasseter , Toy Story was the first feature-length computer-animated film and the first theatrical film produced by Pixar . John Lasseter John Lasseter computer-animated Computer-generated imagery directorial debut List of directorial debuts The film features music by Randy Newman , and was executive-produced by Steve Jobs and Edwin Catmull . Randy Newman Randy Newman Steve Jobs Steve Jobs Edwin Catmull Edwin Catmull Lasseter , Stanton and Docter wrote early story treatments which were thrown out by Disney , as they wanted the film to be edgier . Released in theaters on November 22 , 1995 , Toy Story was the highest-grossing film on its opening weekend and earned over $ 373 million worldwide .",REFUTES
"Worcester, Massachusetts is 40 mi west of a city.","Worcester is located approximately 40 mi west of Boston , 50 mi east of Springfield and 40 mi north of Providence . Worcester Worcester Boston Boston, Massachusetts Springfield Springfield, Massachusetts Providence Providence, Rhode Island",SUPPORTS
Steve Coogan starred as the lead role in What Maisie Knew.,,NEI
International Relations only includes the entertainment industry.,,REFUTES
Asteroid Day was co-founded by Grigorij Richters.,"Asteroid Day was officially launched on December 3 , 2014 .",SUPPORTS
Jerry Goldsmith was nominated for Golden Globe Awards.,,SUPPORTS
Dracula established conventions of the Twilight series.,,NEI
The Italian language is only written in Crimea.,"It has official minority status in Bosnia and Herzegovina , Croatia , Slovenia and Romania . Croatia Croatia Slovenia Slovenia Bosnia and Herzegovina Bosnia and Herzegovina Romania Romania",REFUTES
George Foreman worked for an American premium cable and satellite television network.,"Home Box Office -LRB- HBO -RRB- is an American premium cable and satellite television network that is owned by Time Warner through its respective flagship company Home Box Office , Inc. . Time Warner Time Warner premium Pay television cable cable television satellite television satellite television network television network",SUPPORTS
Kerala has the highest media exposure in Peru.,,REFUTES
"Homeland's cast is one person, John Turturro.","The series is broadcast in the U.S. on the cable channel Showtime , and is produced by Fox 21 Television Studios -LRB- formerly Fox 21 -RRB- . Fox 21 Television Studios Fox 21 Television Studios Showtime Showtime (TV network) cable channel cable channel",REFUTES
"The Dark Knight Rises' filming took place in Los Angeles, California in 2012.",,NEI
Carice van Houten is a singer.,Carice Anouk van Houten -LRB- -LSB- kaːˈris ɑˈnuk vɑn ˈɦʌu̯tə -LRB- n -RRB- -RSB- ; born 5 September 1976 -RRB- is a Dutch actress and singer . Dutch Netherlands actress actress,SUPPORTS
The Hellenic goddess of wild animals was called Artemis.,"Homer refers to her as Artemis Agrotera , Potnia Theron : `` Artemis of the wildland , Mistress of Animals '' . Potnia Theron Potnia Theron",SUPPORTS
The capital of Bali is located in the northern part of the island.,"Its capital , Denpasar , is located in the southern part of the island . Denpasar Denpasar",REFUTES
Jeffrey Dahmer was an inmate of Columbia Correctional Institution.,,SUPPORTS
Smoking does not increase the risk of leukemia.,"There are four main types of leukemia -- acute lymphoblastic leukemia -LRB- ALL -RRB- , acute myeloid leukemia -LRB- AML -RRB- , chronic lymphocytic leukemia -LRB- CLL -RRB- and chronic myeloid leukemia -LRB- CML -RRB- -- as well as a number of less common types . acute lymphoblastic leukemia acute lymphoblastic leukemia acute myeloid leukemia acute myeloid leukemia chronic lymphocytic leukemia chronic lymphocytic leukemia chronic myeloid leukemia chronic myeloid leukemia",REFUTES
Anna Paquin traveled to Los Angeles to live there.,,NEI
Saving Private Ryan was the second highest grossing film of its year.,"Saving Private Ryan was released on home video in May 1999 , earning another $ 44 million from sales . home video home video",SUPPORTS
The Host stars a Slovenian actor.,,NEI
Matthew Modine played the titular character in the film Birdy.,"His other well-known roles include Dr. Martin Brenner in Stranger Things , the title character in Alan Parker 's Birdy , high school wrestler Louden Swain in Vision Quest and the oversexed Sullivan Groff on Weeds . Stranger Things Stranger Things Alan Parker Alan Parker Birdy Birdy (film) Vision Quest Vision Quest Weeds Weeds (TV series)",SUPPORTS
Australia was energetically pursued.,,NEI
The 2011 FIFA U-20 World Cup was cancelled between July 29 to August 20.,"Colombia hosted the tournament between 29 July and 20 August 2011 , with matches being played in eight cities . Colombia Colombia",REFUTES
Pornhub is on the Internet.,"Pornhub is a pornographic video sharing website and the largest pornography site on the Internet . video sharing video sharing pornographic Pornography In March 2010 , Pornhub was bought by Manwin -LRB- now known as MindGeek -RRB- , which owns numerous other pornographic websites . MindGeek MindGeek pornographic Pornography",SUPPORTS
The Simpsons series will have 22 episodes for the thirtieth season.,"It has won dozens of awards since it debuted as a series , including 31 Primetime Emmy Awards , 30 Annie Awards , and a Peabody Award . Peabody Award Peabody Award",SUPPORTS
Land Rover lacks the ability to make cars.,"Land Rover is a car brand that specialises in four-wheel-drive vehicles , owned by British multinational car manufacturer Jaguar Land Rover , which has been owned by India 's Tata Motors since 2008 . Jaguar Land Rover Jaguar Land Rover Jaguar Jaguar Cars four-wheel-drive four-wheel-drive multinational multinational corporation car manufacturer automaker Tata Motors Tata Motors Land Rover sold 194,000 vehicles worldwide in 2009 . The Land Rover Discovery is a mid-size luxury SUV , from the British car maker Land Rover . Land Rover Land Rover SUV sport utility vehicle",REFUTES
Davis Guggenheim was an American film producer.,"Philip Davis Guggenheim -LRB- born November 3 , 1963 -RRB- is an American film and television director and producer . television director television director Since 2006 , Guggenheim is the only filmmaker to release three different documentaries that were ranked within the top 100 highest-grossing documentaries of all time -LRB- An Inconvenient Truth , It Might Get Loud , and Waiting for ′ Superman ′ -RRB- . An Inconvenient Truth An Inconvenient Truth documentaries documentaries It Might Get Loud It Might Get Loud",SUPPORTS
The Night Of was co-directed by a British director.,"The miniseries was written by Richard Price and Steven Zaillian and directed by Zaillian and James Marsh . Richard Price Richard Price (writer) Steven Zaillian Steven Zaillian James Marsh James Marsh (director) miniseries miniseries James Marsh -LRB- born 30 April 1963 -RRB- is a British film and documentary director best known for his work on Man on Wire , which won the 2008 Academy Award for Best Documentary Feature , and The Theory of Everything , the multi-award winning biopic of physicist Stephen Hawking released in 2014 . Man on Wire Man on Wire Academy Award for Best Documentary Feature Academy Award for Best Documentary Feature The Theory of Everything The Theory of Everything (2014 film) Stephen Hawking Stephen Hawking",SUPPORTS
Keith Urban had two children called Keith Urban.,,NEI
There are evidence suggesting that all dinosaurs are incapable of building their own nests.,"Still , the idea that non-avian dinosaurs were uniformly gigantic is a misconception based in part on preservation bias , as large , sturdy bones are more likely to last until they are fossilized .",REFUTES
Frenemies is an ant.,"Frenemies is a 2012 teen comedy-drama television film and anthology based on the novel of the same name by Alexa Young which premiered on Disney Channel . Disney Channel Disney Channel teen teen film comedy-drama comedy-drama television film television film anthology anthology The film follows three pairs of teenage friends that go from friends to enemies and back again . It features an ensemble cast starring Bella Thorne , Zendaya , Stefanie Scott , Nick Robinson , Mary Mouser and features Connor Price , Jascha Washington and Dylan Everett . Bella Thorne Bella Thorne Zendaya Zendaya Mary Mouser Mary Mouser Nick Robinson Nick Robinson (American actor) Stefanie Scott Stefanie Scott ensemble cast ensemble cast Connor Price Connor Price Jascha Washington Jascha Washington Dylan Everett Dylan Everett The film was directed by Daisy Mayer and written by Dava Savel , Wendy Weiner , and Jim Krieg . Dava Savel Dava Savel Daisy Mayer Daisy von Scherler Mayer The Disney Channel Original Movie premiered on January 13 , 2012 in the United States and Canada . Canada Canada Disney Channel Disney Channel Disney Channel Original Movie Disney Channel Original Movie",REFUTES
The Bounty was based on a book by a British author.,The screenplay was by Robert Bolt and it was based on the book Captain Bligh and Mr. Christian -LRB- 1972 -RRB- by Richard Hough . Robert Bolt Robert Bolt Richard Hough Richard Hough Richard Alexander Hough -LRB- pronounced how ; 15 May 1922 - 7 October 1999 -RRB- was a British author and historian specializing in maritime history . British United Kingdom author author historian historian,SUPPORTS
Jessica Chastain is not an actress.,"Jessica Michelle Chastain -LRB- born March 24 , 1977 -RRB- is an American actress and film producer . In 1998 , she made her professional stage debut as Shakespeare 's Juliet . Shakespeare William Shakespeare Juliet Juliet After studying acting at the Juilliard School , she was signed to a talent holding deal with the television producer John Wells . Juilliard School Juilliard School talent holding deal talent holding deal John Wells John Wells (TV producer) She was a recurring guest star in several television shows , including Law & Order : Trial by Jury . She also took on roles in the stage productions of Anton Chekhov 's play The Cherry Orchard in 2004 and Oscar Wilde 's tragedy Salome in 2006 . Anton Chekhov Anton Chekhov The Cherry Orchard The Cherry Orchard Oscar Wilde Oscar Wilde Salome Salome (play) Oscar Academy Award for Best Actress",REFUTES
Paul Simon is a Pisces.,,NEI
Splatoon 2 is a critically acclaimed shooter.,,NEI
Neal Schon is a Canadian guitarist.,"Neal Joseph Schon -LRB- born February 27 , 1954 -RRB- is an American rock guitarist , songwriter , and vocalist , best known for his work with the bands Journey and Bad English . Journey Journey (band) Bad English Bad English rock rock music",REFUTES
"Vanilla Sky stars an actor born on March 17, 2001.",,NEI
Bobby Moore was in the Order of the German Empire.,,NEI
Wolverine appeared in a comic in 1972.,,NEI
Dennis Quaid refused to ever be an actor.,"Dennis William Quaid -LRB- born April 9 , 1954 -RRB- is an American actor known for a wide variety of dramatic and comedic roles . Some of his notable credits include Breaking Away , The Right Stuff , Wyatt Earp , The Rookie , The Day After Tomorrow , Traffic , Vantage Point , Footloose , Frequency , The Parent Trap , Yours , Mine & Ours and Soul Surfer . Breaking Away Breaking Away The Right Stuff The Right Stuff (film) Wyatt Earp Wyatt Earp (film) The Rookie The Rookie (2002 film) The Day After Tomorrow The Day After Tomorrow Traffic Traffic (2000 film) Vantage Point Vantage Point (film) Footloose Footloose (2011 film) Frequency Frequency (film) The Parent Trap The Parent Trap (1998 film) Soul Surfer Soul Surfer (film) For his role in Far from Heaven -LRB- 2002 -RRB- he won the New York Film Critics Circle Award for Best Supporting Actor and several other accolades . Far from Heaven Far from Heaven New York Film Critics Circle Award for Best Supporting Actor New York Film Critics Circle Award for Best Supporting Actor",REFUTES
Angelina Jolie was permanently disqualified for an Academy Award.,"She has received an Academy Award , two Screen Actors Guild Awards , and three Golden Globe Awards , and has been cited as Hollywood 's highest-paid actress . Academy Award Academy Award Screen Actors Guild Awards Screen Actors Guild Awards Golden Globe Awards Golden Globe Awards She starred in the critically acclaimed biographical cable films George Wallace -LRB- 1997 -RRB- and Gia -LRB- 1998 -RRB- , and won an Academy Award for Best Supporting Actress for her performance in the drama Girl , Interrupted -LRB- 1999 -RRB- . Academy Award Academy Award George Wallace George Wallace (film) Gia Gia Academy Award for Best Supporting Actress Academy Award for Best Supporting Actress Her biggest commercial success came with the fantasy picture Maleficent -LRB- 2014 -RRB- . Maleficent Maleficent (film)",REFUTES
Vincente Minnelli is a director.,"Vincente Minnelli -LRB- February 28 , 1903 -- July 25 , 1986 -RRB- was an American stage director and film director , famous for directing such classic movie musicals as Meet Me in St. Louis , Gigi , The Band Wagon , and An American in Paris . stage director Theatre director movie musicals Musical film Meet Me in St. Louis Meet Me in St. Louis Gigi Gigi (1958 film) The Band Wagon The Band Wagon An American in Paris An American in Paris (film) In addition to having directed some of the most famous and well-remembered musicals of his time , Minnelli made many comedies and melodramas . comedies Comedy film melodramas Melodrama",SUPPORTS
Miyu Irino died before voicing Sora.,"His major anime voice roles include Todomatsu Matsuno in Osomatsu-san , Haku in Spirited Away , Daisuke Niwa in D.N.Angel , Syaoran Li in Tsubasa Reservoir Chronicle , Sena Kobayakawa in Eyeshield 21 , Astral in Yu-Gi-Oh ! Osomatsu-san Osomatsu-san Spirited Away Spirited Away D.N.Angel D.N.Angel Syaoran Li Syaoran Li Tsubasa Reservoir Chronicle Tsubasa Reservoir Chronicle Sena Kobayakawa Sena Kobayakawa Eyeshield 21 Eyeshield 21",REFUTES
Afghanistan is the source of a dynasty.,"In the late 19th century , Afghanistan became a buffer state in the `` Great Game '' between British India and the Russian Empire . British First Anglo-Afghan War buffer state buffer state Great Game The Great Game British India British Raj Russian Empire Russian Empire The Durrani dynasty was founded in 1747 by Ahmad Shah Durrani at Kandahar , present Afghanistan . Ahmad Shah Durrani Ahmad Shah Durrani Afghanistan Afghanistan Kandahar Kandahar Durrani Durrani",SUPPORTS
Bill Cosby has been deemed innocent of sexual battery.,,NEI
Stanley Kubrick was a prince of England.,,NEI
Alfre Woodard is a Bostonian.,,NEI
Pixar began in August 1979.,,NEI
The United States Army is the major ground-based defensive force of the United States.,,SUPPORTS
Bill Clinton was not President of the United States.,"William Jefferson Clinton -LRB- born August 19 , 1946 -RRB- is an American politician who served as the 42nd President of the United States from 1993 to 2001 . 42nd List of Presidents of the United States 42nd President of the United States List of Presidents of the United States Two years later , in 1996 , Clinton became the first Democrat since Franklin D. Roosevelt to be elected to a second term . 1996 United States presidential election, 1996 Franklin D. Roosevelt Franklin D. Roosevelt",REFUTES
"Brentwood is located in the Eastside of Los Angeles, California.","Brentwood is an affluent neighborhood in the Westside of Los Angeles , California . California California Los Angeles Los Angeles affluent affluence in the United States neighborhood neighborhood",REFUTES
Paul Pogba made it to the 2012 UEFA Champions League Final.,,NEI
An album of Drake (musician) became platinum.,"They were followed by two mixtapes , with the trap-influenced If You 're Reading This It 's Too Late , and a collaboration with Future for What a Time to Be Alive , in 2015 , which both also earned platinum certification in the U.S. Future Future (rapper) platinum Music recording sales certification trap trap music What a Time to Be Alive What a Time to Be Alive Drake released his fourth album , Views , in 2016 , breaking several chart records in the process . Views Views (album) Drake owns several Billboard chart records .",SUPPORTS
Ativan is left off the World Health Organization's List of Essential Medicines.,"In the United States in 2011 , 28 million prescriptions for lorazepam were filled making it the second most prescribed benzodiazepine after alprazolam . benzodiazepine benzodiazepine alprazolam alprazolam",REFUTES
Outlander is based on a series of comics.,Outlander is a British-American television drama series based on the historical time travel Outlander series of novels by Diana Gabaldon . Diana Gabaldon Diana Gabaldon time travel time travel,REFUTES
The Titanic helped improve navigation training in sailors.,,NEI
Cary Grant co-directed in the film The Philadelphia Story.,"Having established himself as a major Hollywood star , he was nominated twice for the Academy Award for Best Actor , for Penny Serenade -LRB- 1941 -RRB- and None but the Lonely Heart -LRB- 1944 -RRB- . Academy Award for Best Actor Academy Award for Best Actor Penny Serenade Penny Serenade None but the Lonely Heart None but the Lonely Heart (film) The Philadelphia Story is a 1940 American romantic comedy film directed by George Cukor , starring Cary Grant , Katharine Hepburn , and James Stewart and featuring Ruth Hussey . George Cukor George Cukor The Philadelphia Story The Philadelphia Story (play) Cary Grant Cary Grant Katharine Hepburn Katharine Hepburn James Stewart James Stewart Ruth Hussey Ruth Hussey romantic comedy romantic comedy",REFUTES
Glee's pilot had its first broadcast in 2009.,"The sixth and final season aired from January to March 2015 . sixth Glee (season 6) `` Pilot '' is the pilot episode of the American television series Glee , which premiered on the Fox network on May 19 , 2009 . Glee Glee (TV series) Fox Fox Broadcasting Company",SUPPORTS
Superior Donuts airs on a network.,Superior Donuts is an American sitcom that airs on CBS . Superior Donuts Superior Donuts CBS CBS sitcom sitcom,SUPPORTS
Three Men and a Baby passed up Tom Selleck for a role in the film.,"Three Men and a Baby is a 1987 American comedy film directed by Leonard Nimoy , and stars Tom Selleck , Steve Guttenberg , Ted Danson and Nancy Travis . Leonard Nimoy Leonard Nimoy Tom Selleck Tom Selleck Steve Guttenberg Steve Guttenberg Ted Danson Ted Danson comedy film comedy film Nancy Travis Nancy Travis",REFUTES
Arrested Development is a program.,"Arrested Development is an American television sitcom created by Mitchell Hurwitz , which originally aired on Fox for three seasons from November 2 , 2003 to February 10 , 2006 . Mitchell Hurwitz Mitchell Hurwitz Fox Fox Broadcasting Company sitcom sitcom A fourth season of 15 episodes was released on Netflix on May 26 , 2013 . Netflix Netflix The show follows the fictitious Bluth family , a formerly wealthy and habitually dysfunctional family . fictitious fiction dysfunctional family dysfunctional family In 2011 , IGN named Arrested Development the `` funniest show of all time '' . IGN IGN Its humor has been cited as a key influence on later single-camera sitcoms such as 30 Rock and Community . 30 Rock 30 Rock Community Community (TV series)",SUPPORTS
Ronald Reagan promoted supply-side economic policies.,"Foreign affairs dominated his second term , including ending of the Cold War , the bombing of Libya , and the Iran -- Contra affair . Cold War Cold War bombing of Libya 1986 United States bombing of Libya",SUPPORTS
Beyoncé Knowles was listed among Time's 100 most influential people in the country.,,SUPPORTS
The Illusionist was a critical and commercial success.,,SUPPORTS
John McEnroe is unknown.,His match record of 82 -- 3 in 1984 remains the best single season win rate of the Open Era . 1984 1984 World Championship Tennis Finals - Singles best single season win rate Tennis records of the Open Era – men's singles#Single season records Open Era History of tennis#Open Era,REFUTES
Matthew Modine played a character on Stranger Things.,"His other well-known roles include Dr. Martin Brenner in Stranger Things , the title character in Alan Parker 's Birdy , high school wrestler Louden Swain in Vision Quest and the oversexed Sullivan Groff on Weeds . Stranger Things Stranger Things Alan Parker Alan Parker Birdy Birdy (film) Vision Quest Vision Quest Weeds Weeds (TV series)",SUPPORTS
Richard Curtis laughed at a charity in 1985.,,NEI
There is a film about an exclusive clique in their high school called Jawbreaker (film).,"The film stars Rose McGowan , Rebecca Gayheart , Julie Benz , and Judy Greer as girls in an exclusive clique in their high school . Rose McGowan Rose McGowan Rebecca Gayheart Rebecca Gayheart Julie Benz Julie Benz Judy Greer Judy Greer film film clique clique",SUPPORTS
